bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
660487,MAESTRO,DEBIT,,,,,,,,,
660488,MAESTRO,DEBIT,,,,,,,,,
660489,MAESTRO,DEBIT,,,,,,,,,
660490,MAESTRO,DEBIT,,,,,,,,,
660491,MAESTRO,DEBIT,,,,,,,,,
660492,MAESTRO,DEBIT,,,,,,,,,
660493,MAESTRO,DEBIT,,,,,,,,,
660494,MAESTRO,DEBIT,,,,,,,,,
660495,MAESTRO,DEBIT,,,,,,,,,
660496,MAESTRO,DEBIT,,,,,,,,,
660497,MAESTRO,DEBIT,,,,,,,,,
660498,MAESTRO,DEBIT,,,,,,,,,
660499,MAESTRO,DEBIT,,,,,,,,,
660500,MAESTRO,DEBIT,,,,,,,,,
660501,MAESTRO,DEBIT,,,,,,,,,
660502,MAESTRO,DEBIT,,,,,,,,,
660503,MAESTRO,DEBIT,,,,,,,,,
660504,MAESTRO,DEBIT,,,,,,,,,
660505,MAESTRO,DEBIT,,,,,,,,,
660506,MAESTRO,DEBIT,,,,,,,,,
660507,MAESTRO,DEBIT,,,,,,,,,
660508,MAESTRO,DEBIT,,,,,,,,,
660509,MAESTRO,DEBIT,,,,,,,,,
660510,MAESTRO,DEBIT,,,,,,,,,
660511,MAESTRO,DEBIT,,,,,,,,,
660512,MAESTRO,DEBIT,,,,,,,,,
660513,MAESTRO,DEBIT,,,,,,,,,
660514,MAESTRO,DEBIT,,,,,,,,,
660515,MAESTRO,DEBIT,,,,,,,,,
660516,MAESTRO,DEBIT,,,,,,,,,
660517,MAESTRO,DEBIT,,,,,,,,,
660518,MAESTRO,DEBIT,,,,,,,,,
660519,MAESTRO,DEBIT,,,,,,,,,
660520,MAESTRO,DEBIT,,,,,,,,,
660521,MAESTRO,DEBIT,,,,,,,,,
660522,MAESTRO,DEBIT,,,,,,,,,
660523,MAESTRO,DEBIT,,,,,,,,,
660524,MAESTRO,DEBIT,,,,,,,,,
660525,MAESTRO,DEBIT,,,,,,,,,
660526,MAESTRO,DEBIT,,,,,,,,,
660527,MAESTRO,DEBIT,,,,,,,,,
660528,MAESTRO,DEBIT,,,,,,,,,
660529,MAESTRO,DEBIT,,,,,,,,,
660530,MAESTRO,DEBIT,,,,,,,,,
660531,MAESTRO,DEBIT,,,,,,,,,
660532,MAESTRO,DEBIT,,,,,,,,,
660533,MAESTRO,DEBIT,,,,,,,,,
660534,MAESTRO,DEBIT,,,,,,,,,
660535,MAESTRO,DEBIT,,,,,,,,,
660536,MAESTRO,DEBIT,,,,,,,,,
660537,MAESTRO,DEBIT,,,,,,,,,
660538,MAESTRO,DEBIT,,,,,,,,,
660539,MAESTRO,DEBIT,,,,,,,,,
660540,MAESTRO,DEBIT,,,,,,,,,
660541,MAESTRO,DEBIT,,,,,,,,,
660542,MAESTRO,DEBIT,,,,,,,,,
660543,MAESTRO,DEBIT,,,,,,,,,
660544,MAESTRO,DEBIT,,,,,,,,,
660545,MAESTRO,DEBIT,,,,,,,,,
660546,MAESTRO,DEBIT,,,,,,,,,
660547,MAESTRO,DEBIT,,,,,,,,,
660548,MAESTRO,DEBIT,,,,,,,,,
660549,MAESTRO,DEBIT,,,,,,,,,
660550,MAESTRO,DEBIT,,,,,,,,,
660551,MAESTRO,DEBIT,,,,,,,,,
660552,MAESTRO,DEBIT,,,,,,,,,
660553,MAESTRO,DEBIT,,,,,,,,,
660554,MAESTRO,DEBIT,,,,,,,,,
660555,MAESTRO,DEBIT,,,,,,,,,
660556,MAESTRO,DEBIT,,,,,,,,,
660557,MAESTRO,DEBIT,,,,,,,,,
660558,MAESTRO,DEBIT,,,,,,,,,
660559,MAESTRO,DEBIT,,,,,,,,,
660560,MAESTRO,DEBIT,,,,,,,,,
660561,MAESTRO,DEBIT,,,,,,,,,
660562,MAESTRO,DEBIT,,,,,,,,,
660563,MAESTRO,DEBIT,,,,,,,,,
660564,MAESTRO,DEBIT,,,,,,,,,
660565,MAESTRO,DEBIT,,,,,,,,,
660566,MAESTRO,DEBIT,,,,,,,,,
660567,MAESTRO,DEBIT,,,,,,,,,
660568,MAESTRO,DEBIT,,,,,,,,,
660569,MAESTRO,DEBIT,,,,,,,,,
660570,MAESTRO,DEBIT,,,,,,,,,
660571,MAESTRO,DEBIT,,,,,,,,,
660572,MAESTRO,DEBIT,,,,,,,,,
660573,MAESTRO,DEBIT,,,,,,,,,
660574,MAESTRO,DEBIT,,,,,,,,,
660575,MAESTRO,DEBIT,,,,,,,,,
660576,MAESTRO,DEBIT,,,,,,,,,
660577,MAESTRO,DEBIT,,,,,,,,,
660578,MAESTRO,DEBIT,,,,,,,,,
660579,MAESTRO,DEBIT,,,,,,,,,
660580,MAESTRO,DEBIT,,,,,,,,,
660581,MAESTRO,DEBIT,,,,,,,,,
660582,MAESTRO,DEBIT,,,,,,,,,
660583,MAESTRO,DEBIT,,,,,,,,,
660584,MAESTRO,DEBIT,,,,,,,,,
660585,MAESTRO,DEBIT,,,,,,,,,
